CID,R,F,M,cluster
4701479,0.6759121747969165,-1.4178289748643051,3.609052684672733,3
4701480,-0.14660770597109646,0.02067174674919342,2.4615644412489948,3
4701487,1.036085961478374,-1.4178289748643051,2.43795524036219,3
4701701,1.5393637218418996,-1.4178289748643051,2.43795524036219,3
4702023,0.09648538912009663,0.2118102810016082,2.2596998347292803,3
4702346,-1.4208917496869597,-0.3455902629166099,4.049682064650945,3
4702390,0.9829291129419733,0.2118102810016082,2.1211105212256407,3
4702566,0.06170644243523466,0.44965927192842575,4.137040440019984,3
4703246,1.7231354165472796,-0.8139742712348548,1.6456914824243303,3
4703603,1.5703161645701589,-1.4178289748643051,1.7254192082398652,3
4703734,0.27314525727474515,-1.4178289748643051,1.7254192082398652,3
4704370,0.878565526615838,-0.47294355898630297,1.763645779011589,3
4704983,0.39025200151336853,-1.4178289748643051,1.7254192082398652,3
4705651,0.9585493852323846,-1.4178289748643051,1.7254192082398652,3
4706074,1.7716311536385168,-1.0613541860416928,1.929891777955104,3
4706214,1.604687989207533,-1.4178289748643051,2.43795524036219,3
4707703,1.5564721444692184,-1.4178289748643051,3.609052684672733,3
4707709,-0.44985679901220793,0.6285044345990097,3.5382660354169624,3
4707788,0.368509135633924,0.2659524982608238,4.17518861685578,3
4707856,1.097869780733487,-0.8139742712348548,1.9638975390418685,3
4707970,1.5675763892649972,-1.0613541860416928,2.43795524036219,3
4707998,1.097869780733487,-1.4178289748643051,2.43795524036219,3
4708046,-0.14660770597109646,-1.4178289748643051,3.609052684672733,3
4708073,1.5703161645701589,-1.4178289748643051,1.7254192082398652,3
4708100,1.036085961478374,0.7714351615829789,1.980892827286995,3
4708488,0.27314525727474515,-1.4178289748643051,1.7254192082398652,3
4708512,0.45127631824186226,0.02067174674919342,2.720720100240072,3
4708556,1.4048636772517313,-1.4178289748643051,3.1427715381410035,3
4708640,1.3158877101115272,-1.4178289748643051,1.7254192082398652,3
4709163,1.3897352030299928,-1.0613541860416928,1.9638975390418685,3
4709271,-0.19740212103962618,-1.4178289748643051,3.609052684672733,3
4709383,0.8973153397355034,-1.4178289748643051,3.980251214458527,3
4709889,1.123304223070067,-0.8139742712348548,1.8686297266010494,3
4709952,1.8550215565588197,-0.8139742712348548,1.8050272177019098,3
